Dia;Valor
19.jun.2024;4,33
21.jun.2024;4,32
24.jun.2024;4,41
25.jun.2024;4,33
26.jun.2024;4,32
27.jun.2024;4,27
28.jun.2024;4,26
01.jul.2024;4,25
02.jul.2024;4,29
03.jul.2024;4,3
04.jul.2024;4,32
05.jul.2024;4,41
08.jul.2024;4,42
09.jul.2024;4,44
10.jul.2024;4,43
11.jul.2024;4,4
12.jul.2024;4,42
15.jul.2024;4,37
17.jul.2024;4,41
18.jul.2024;4,31
19.jul.2024;4,3
22.jul.2024;4,2
23.jul.2024;4,16
24.jul.2024;4,12
25.jul.2024;4,1
26.jul.2024;4,07
29.jul.2024;4,08
30.jul.2024;4,08
31.jul.2024;4,03
01.ago.2024;4,01
02.ago.2024;4,13
05.ago.2024;4,05
06.ago.2024;4,05
07.ago.2024;3,98
08.ago.2024;3,99
09.ago.2024;3,92
12.ago.2024;3,93
13.ago.2024;3,97
14.ago.2024;4,04
16.ago.2024;4,01
19.ago.2024;4,11
20.ago.2024;4,09
21.ago.2024;4,15
22.ago.2024;4,12
23.ago.2024;4,14
26.ago.2024;4,09
27.ago.2024;4,16
28.ago.2024;4,16
29.ago.2024;4,23
30.ago.2024;4,14
02.sept.2024;4,14
03.sept.2024;4,14
04.sept.2024;4,11
05.sept.2024;4,01
06.sept.2024;4,01
09.sept.2024;4,07
10.sept.2024;4,03
11.sept.2024;4,07
12.sept.2024;4,04
13.sept.2024;4,07
16.sept.2024;4,13
17.sept.2024;4,17
23.sept.2024;4,2
24.sept.2024;4,24
25.sept.2024;4,27
26.sept.2024;4,38
27.sept.2024;4,39
30.sept.2024;4,51
01.oct.2024;4,47
02.oct.2024;4,4
03.oct.2024;4,46
04.oct.2024;4,51
07.oct.2024;4,41
08.oct.2024;4,44
09.oct.2024;4,44
10.oct.2024;4,35
11.oct.2024;4,32
14.oct.2024;4,35
15.oct.2024;4,38
16.oct.2024;4,32
17.oct.2024;4,26
18.oct.2024;4,27
21.oct.2024;4,26
22.oct.2024;4,31
23.oct.2024;4,27
24.oct.2024;4,28
25.oct.2024;4,25
28.oct.2024;4,25
29.oct.2024;4,3
30.oct.2024;4,26
04.nov.2024;4,26
05.nov.2024;4,28
06.nov.2024;4,34
07.nov.2024;4,35
08.nov.2024;4,17
11.nov.2024;4,32
12.nov.2024;4,22
13.nov.2024;4,17
14.nov.2024;4,08
15.nov.2024;4,04
18.nov.2024;4,02
19.nov.2024;4,03
20.nov.2024;4,06
